GEO_ID,NAME,FIPS,Cty_Name,St_Name,FlashFloodCount
0500000US46045,"Edmunds County, South Dakota",46045,Edmunds County,South Dakota,0
0500000US46047,"Fall River County, South Dakota",46047,Fall River County,South Dakota,0
0500000US46049,"Faulk County, South Dakota",46049,Faulk County,South Dakota,0
0500000US46051,"Grant County, South Dakota",46051,Grant County,South Dakota,0
0500000US46053,"Gregory County, South Dakota",46053,Gregory County,South Dakota,0
0500000US46055,"Haakon County, South Dakota",46055,Haakon County,South Dakota,0
0500000US46057,"Hamlin County, South Dakota",46057,Hamlin County,South Dakota,0
0500000US46059,"Hand County, South Dakota",46059,Hand County,South Dakota,0
0500000US46061,"Hanson County, South Dakota",46061,Hanson County,South Dakota,0
0500000US46063,"Harding County, South Dakota",46063,Harding County,South Dakota,0
0500000US46065,"Hughes County, South Dakota",46065,Hughes County,South Dakota,0
0500000US46067,"Hutchinson County, South Dakota",46067,Hutchinson County,South Dakota,0
